"role_id";"permission_id"
4;17
4;18
4;19
4;20
4;21
4;22
4;23
4;24
4;25
4;26
4;27
4;28
4;29
4;30
4;31
4;32
4;33
4;34
4;35
4;36
4;37
4;38
4;39
4;40
4;41
4;42
5;17
5;18
5;19
5;20
5;21
5;22
5;23
5;24
5;25
5;26
5;27
5;28
5;29
5;30
5;31
5;32
5;33
5;34
5;35
5;36
5;37
5;38
5;39
5;40
5;41
5;42
6;17
6;18
6;19
6;20
6;21
6;22
6;23
6;24
6;25
6;26
6;27
6;28
6;29
6;30
6;31
6;32
6;33
6;34
6;35
6;36
6;37
6;38
6;39
6;40
6;41
6;42
7;17
7;18
7;19
7;20
7;21
7;22
7;23
7;24
7;25
7;26
7;27
9;29
9;30
9;31
9;32
9;44
4;43
4;45
4;46
4;47
4;48
4;49
4;50
4;51
4;52
4;53
4;54
4;55
4;56
4;57
4;58
4;59
4;60
4;61
4;62
4;63
4;64
